Target:wordPos	utterance	word	log_prob (word|left_context)	word_ph_len	STOI_babble_snr_0	STOI_babble_snr_-5	STOI_babble_snr_5	HRS_babble_snr_5	HRS_babble_snr_0	HRS_babble_snr_-5
5:02	and she was really thankful and she 's	was	-2.87	3	0.727564693	0.537003996	0.760263436	1	1	1
5:03	and she was really thankful and she 's	really	-3.83	4	0.552563749	0.481660549	0.701970351	1	1	1
5:04	and she was really thankful and she 's	thankful	-7.89	7	0.772989001	0.638565541	0.909136202	1	1	0.833333333
5:05	and she was really thankful and she 's	and	-5.68	3	0.787526494	0.643693002	0.870525041	1	1	1
5:06	and she was really thankful and she 's	she	-5.02	2	0.82435915	0.667284845	0.856017545	1	1	1
5:07	and she was really thankful and she 's	's	-2.94	3	0.796203933	0.742192137	0.869276556	0	0	0.166666667
6:01	and then dad said unk you could	then	-3.46	3	0.833093901	0.713198105	0.872215964	0.833333333	0.666666667	0.166666667
6:02	and then dad said unk you could	dad	-8.97	3	0.766485484	0.607793994	0.902812705	1	0.666666667	0
6:03	and then dad said unk you could	said	-4.46	3	0.893801784	0.791753892	0.960076774	1	0.833333333	0
6:05	and then dad said unk you could	you	-2.72	2	0.589431956	0.634635308	0.557849016	0.833333333	0.666666667	0
6:06	and then dad said unk you could	could	-4.02	3	0.866933357	0.612272572	0.940696229	1	1	0.166666667
7:01	and then dad said instead you could	then	-3.46	3	0.833093901	0.713198105	0.872215964	0.833333333	0.333333333	0.333333333
7:02	and then dad said instead you could	dad	-8.97	3	0.766485484	0.607793994	0.902812705	1	0.666666667	0.333333333
7:03	and then dad said instead you could	said	-4.46	3	0.893801784	0.791753892	0.960076774	1	0.666666667	0.5
7:04	and then dad said instead you could	instead	-8.88	6	0.731986456	0.658483559	0.885562194	1	0.5	0.166666667
7:05	and then dad said instead you could	you	-5.37	2	0.589431956	0.634635308	0.557849016	0.666666667	0.166666667	0
7:06	and then dad said instead you could	could	-4.4	3	0.866933357	0.612272572	0.940696229	0.833333333	0.333333333	0
8:01	and they certainly put other things out	they	-4.09	2	0.769852066	0.662375908	0.90448277	0.833333333	0.5	0.166666667
8:02	and they certainly put other things out	certainly	-7.29	7	0.646989352	0.541927604	0.804244784	1	1	0.333333333
8:03	and they certainly put other things out	put	-4.99	3	0.886039382	0.80884126	0.97006723	1	0.833333333	0.333333333
8:04	and they certainly put other things out	other	-6.57	3	0.791356575	0.631805174	0.917571799	1	0.833333333	0.166666667
8:05	and they certainly put other things out	things	-1.47	4	0.474329139	0.384444485	0.617893431	1	0.833333333	0.166666667
8:06	and they certainly put other things out	out	-2.06	2	0.829207399	0.70110962	0.932692248	1	0.833333333	0.166666667
9:01	and they sure put other things out	they	-4.09	2	0.769852066	0.662375908	0.90448277	1	0.833333333	0.5
9:02	and they sure put other things out	sure	-8.2	3	0.799473515	0.643051424	0.908827919	0.666666667	0.5	0.333333333
9:03	and they sure put other things out	put	-5.7	3	0.886039382	0.80884126	0.97006723	1	1	0.5
9:04	and they sure put other things out	other	-6.64	3	0.791356575	0.631805174	0.917571799	1	0.833333333	0.333333333
9:05	and they sure put other things out	things	-1.45	4	0.474329139	0.384444485	0.617893431	1	0.833333333	0.5
9:06	and they sure put other things out	out	-2.09	2	0.829207399	0.70110962	0.932692248	1	0.833333333	0.5
10:01	apparently very good indian restaurants but this was brilliant	very	-6.67	4	0.81723182	0.561902268	0.901406668	1	0.666666667	0
10:02	apparently very good indian restaurants but this was brilliant	good	-3.16	3	0.830705788	0.69603016	0.854177957	1	1	0
10:03	apparently very good indian restaurants but this was brilliant	indian	-10.53	6	0.657285847	0.399203365	0.749735138	1	1	0
10:04	apparently very good indian restaurants but this was brilliant	restaurants	-7.25	9	0.769652223	0.800658718	0.882900299	1	1	0.833333333
10:05	apparently very good indian restaurants but this was brilliant	but	-5.38	3	0.843730714	0.775294092	0.966911146	1	1	0.666666667
10:06	apparently very good indian restaurants but this was brilliant	this	-5.93	3	0.745428853	0.598218695	0.821968415	1	1	0.666666667
10:07	apparently very good indian restaurants but this was brilliant	was	-3.77	3	0.727564693	0.537003996	0.760263436	1	0.833333333	0.666666667
10:08	apparently very good indian restaurants but this was brilliant	brilliant	-12.56	8	0.423491807	0.396018159	0.686617131	1	1	0.833333333
11:01	beware do not go in the water	do	-4.71	2	0.5614232	0.449052399	0.763007385	0.833333333	1	0
11:02	beware do not go in the water	not	-4	3	0.83510231	0.774108485	0.955440843	1	1	0.166666667
11:03	beware do not go in the water	go	-4.48	2	0.827750948	0.671539759	0.90960004	1	1	0.166666667
11:04	beware do not go in the water	in	-3.55	2	0.698548189	0.501917747	0.730330444	1	1	0
11:05	beware do not go in the water	the	-1.95	2	0.537922917	0.199520389	0.664877878	1	1	0
11:06	beware do not go in the water	water	-5.91	4	0.632480872	0.453443075	0.732764845	1	1	0.166666667
12:01	but other things there that i would not so normally	other	-6.56	3	0.791356575	0.631805174	0.917571799	1	0.833333333	0
12:02	but other things there that i would not so normally	things	-2.94	4	0.474329139	0.384444485	0.617893431	1	0.833333333	0
12:03	but other things there that i would not so normally	there	-5.86	3	0.761991086	0.50882468	0.890916856	0.833333333	0.166666667	0.166666667
12:04	but other things there that i would not so normally	that	-3.31	3	0.858494095	0.774072043	0.960537108	0.666666667	0.5	0.333333333
12:05	but other things there that i would not so normally	i	-2.14	1	0.698881221	0.523162631	0.851248487	0.666666667	0.833333333	0.5
12:06	but other things there that i would not so normally	would	-3.27	3	0.831415596	0.638307008	0.890644965	0.666666667	0.833333333	0.833333333
12:07	but other things there that i would not so normally	not	-4.1	3	0.83510231	0.774108485	0.955440843	1	0.666666667	0.833333333
12:08	but other things there that i would not so normally	so	-8.65	2	0.827959454	0.786175267	0.945709785	0.166666667	0	0
12:09	but other things there that i would not so normally	normally	-9.91	7	0.614939681	0.390574622	0.735353496	1	0.166666667	0
13:01	but other things there that i would not so ordinarily	other	-6.56	3	0.791356575	0.631805174	0.917571799	0.833333333	0.666666667	0
13:02	but other things there that i would not so ordinarily	things	-2.94	4	0.474329139	0.384444485	0.617893431	0.833333333	0.666666667	0
13:03	but other things there that i would not so ordinarily	there	-5.86	3	0.761991086	0.50882468	0.890916856	0.833333333	0.333333333	0.166666667
13:04	but other things there that i would not so ordinarily	that	-3.31	3	0.858494095	0.774072043	0.960537108	0.666666667	0.5	0.333333333
13:05	but other things there that i would not so ordinarily	i	-2.14	1	0.698881221	0.523162631	0.851248487	1	0.833333333	0.5
13:06	but other things there that i would not so ordinarily	would	-3.27	3	0.831415596	0.638307008	0.890644965	1	0.666666667	0
13:07	but other things there that i would not so ordinarily	not	-4.1	3	0.83510231	0.774108485	0.955440843	1	1	0.666666667
13:08	but other things there that i would not so ordinarily	so	-8.65	2	0.827959454	0.786175267	0.945709785	0.333333333	0.666666667	0.333333333
13:09	but other things there that i would not so ordinarily	ordinarily	-12.23	10	0.65238244	0.429485782	0.772018862	0.833333333	1	0.833333333
14:01	but other things there that i would not so usually	other	-6.56	3	0.791356575	0.631805174	0.917571799	1	0.666666667	0
14:02	but other things there that i would not so usually	things	-2.94	4	0.474329139	0.384444485	0.617893431	1	0.833333333	0
14:03	but other things there that i would not so usually	there	-5.86	3	0.761991086	0.50882468	0.890916856	0.833333333	0.166666667	0
14:04	but other things there that i would not so usually	that	-3.31	3	0.858494095	0.774072043	0.960537108	1	0.666666667	0.166666667
14:05	but other things there that i would not so usually	i	-2.14	1	0.698881221	0.523162631	0.851248487	0.833333333	1	0.5
14:06	but other things there that i would not so usually	would	-3.27	3	0.831415596	0.638307008	0.890644965	0.833333333	1	0.666666667
14:07	but other things there that i would not so usually	not	-4.1	3	0.83510231	0.774108485	0.955440843	1	1	0.833333333
14:08	but other things there that i would not so usually	so	-8.65	2	0.827959454	0.786175267	0.945709785	0.5	0	0
14:09	but other things there that i would not so usually	usually	-9.72	8	0.652119352	0.54519184	0.739109068	0.833333333	1	0.333333333
15:01	but probably not the actual sentiment behind it	probably	-6.41	8	0.78078112	0.553564058	0.891780143	1	1	0.5
15:02	but probably not the actual sentiment behind it	not	-2.22	3	0.83510231	0.774108485	0.955440843	1	1	0.333333333
15:03	but probably not the actual sentiment behind it	the	-3.21	2	0.537922917	0.199520389	0.664877878	1	1	0.166666667
15:04	but probably not the actual sentiment behind it	actual	-7.26	7	0.842865948	0.77568999	0.911416234	0.833333333	0.833333333	0.333333333
15:05	but probably not the actual sentiment behind it	sentiment	-11.94	9	0.763030852	0.604110337	0.865308395	1	0.833333333	0.5
15:06	but probably not the actual sentiment behind it	behind	-6.39	6	0.737096214	0.617433208	0.839694065	1	0.5	0
15:07	but probably not the actual sentiment behind it	it	-2.05	2	0.827461182	0.765324546	0.914102825	1	0.5	0.333333333
16:01	but probably not the actual view behind it	probably	-6.41	8	0.78078112	0.553564058	0.891780143	1	1	0.5
16:02	but probably not the actual view behind it	not	-2.22	3	0.83510231	0.774108485	0.955440843	1	1	0.166666667
16:03	but probably not the actual view behind it	the	-3.21	2	0.537922917	0.199520389	0.664877878	1	1	0.5
16:04	but probably not the actual view behind it	actual	-7.26	7	0.842865948	0.77568999	0.911416234	1	1	0.166666667
16:05	but probably not the actual view behind it	view	-7.45	3	0.505536152	0.379593587	0.709008772	1	1	0
16:06	but probably not the actual view behind it	behind	-9.69	6	0.737096214	0.617433208	0.839694065	1	1	0.333333333
16:07	but probably not the actual view behind it	it	-2.04	2	0.827461182	0.765324546	0.914102825	1	1	0.5
17:01	but they suddenly unk that if half the population	they	-3.62	2	0.769852066	0.662375908	0.90448277	1	1	1
17:02	but they suddenly unk that if half the population	suddenly	-11.1	7	0.716209987	0.610403685	0.855282028	1	1	1
17:04	but they suddenly unk that if half the population	that	-3.9	3	0.858494095	0.774072043	0.960537108	0.5	0.333333333	0.666666667
17:05	but they suddenly unk that if half the population	if	-5.57	2	0.744759142	0.725225774	0.880699382	0.5	0.333333333	0
17:06	but they suddenly unk that if half the population	half	-10.63	3	0.716748303	0.486599482	0.80669679	1	1	0.833333333
17:07	but they suddenly unk that if half the population	the	-1.38	2	0.537922917	0.199520389	0.664877878	1	1	0.833333333
17:08	but they suddenly unk that if half the population	population	-7.45	10	0.723383632	0.583043604	0.844962226	1	1	0.666666667
18:01	but they suddenly unk that if half the universe	they	-3.62	2	0.769852066	0.662375908	0.90448277	1	1	0.666666667
18:02	but they suddenly unk that if half the universe	suddenly	-11.1	7	0.716209987	0.610403685	0.855282028	1	1	0.833333333
18:04	but they suddenly unk that if half the universe	that	-3.9	3	0.858494095	0.774072043	0.960537108	0.5	0.333333333	0
18:05	but they suddenly unk that if half the universe	if	-5.57	2	0.744759142	0.725225774	0.880699382	0.333333333	0.166666667	0
18:06	but they suddenly unk that if half the universe	half	-10.63	3	0.716748303	0.486599482	0.80669679	1	0.5	0
18:07	but they suddenly unk that if half the universe	the	-1.38	2	0.537922917	0.199520389	0.664877878	1	1	0.666666667
18:08	but they suddenly unk that if half the universe	universe	-10.53	7	0.774294948	0.580358658	0.83329861	1	1	0.833333333
19:01	unk she does not look sad normally	she	-7.09	2	0.82435915	0.667284845	0.856017545	1	1	0.5
19:02	unk she does not look sad normally	does	-3.27	3	0.691611998	0.681689908	0.903789945	1	1	1
19:03	unk she does not look sad normally	not	-3.45	3	0.83510231	0.774108485	0.955440843	1	1	1
19:04	unk she does not look sad normally	look	-5.41	3	0.82978369	0.691625824	0.938892403	1	1	1
19:05	unk she does not look sad normally	sad	-9.94	3	0.807751233	0.743777268	0.888554584	1	1	1
19:06	unk she does not look sad normally	normally	-10.92	7	0.614939681	0.390574622	0.735353496	1	1	0
20:01	unk she does not look sad usually	she	-7.09	2	0.82435915	0.667284845	0.856017545	1	1	0.333333333
20:02	unk she does not look sad usually	does	-3.27	3	0.691611998	0.681689908	0.903789945	1	1	0.833333333
20:03	unk she does not look sad usually	not	-3.45	3	0.83510231	0.774108485	0.955440843	1	1	0.833333333
20:04	unk she does not look sad usually	look	-5.41	3	0.82978369	0.691625824	0.938892403	1	0.833333333	0.833333333
20:05	unk she does not look sad usually	sad	-9.94	3	0.807751233	0.743777268	0.888554584	1	0.5	0.333333333
20:06	unk she does not look sad usually	usually	-9.67	8	0.652119352	0.54519184	0.739109068	1	1	0.833333333
21:01	unk they have lately announced a price increase	they	-4.54	2	0.769852066	0.662375908	0.90448277	1	1	0.5
21:02	unk they have lately announced a price increase	have	-2.61	3	0.749897515	0.655628398	0.898080459	1	0.666666667	0.5
21:03	unk they have lately announced a price increase	lately	-10.11	5	0.731903783	0.53588492	0.830720409	1	0.5	0
21:04	unk they have lately announced a price increase	announced	-12.25	6	0.734713178	0.699240591	0.865750209	0.833333333	1	0.333333333
21:05	unk they have lately announced a price increase	a	-5.02	1	0.761481519	0.680891232	0.928979461	1	0.666666667	0.333333333
21:06	unk they have lately announced a price increase	price	-7.99	4	0.870580181	0.65684642	0.909419701	1	0.833333333	0.833333333
21:07	unk they have lately announced a price increase	increase	-10.58	6	0.642488676	0.506768024	0.747791739	1	1	0.833333333
22:01	unk they have recently announced a price increase	they	-4.54	2	0.769852066	0.662375908	0.90448277	1	1	0.833333333
22:02	unk they have recently announced a price increase	have	-2.61	3	0.749897515	0.655628398	0.898080459	1	1	1
22:03	unk they have recently announced a price increase	recently	-8.47	8	0.620090878	0.624800446	0.770340016	1	1	0.833333333
22:04	unk they have recently announced a price increase	announced	-11.11	6	0.734713178	0.699240591	0.865750209	0.833333333	1	1
22:05	unk they have recently announced a price increase	a	-4.99	1	0.761481519	0.680891232	0.928979461	1	1	0.666666667
22:06	unk they have recently announced a price increase	price	-7.9	4	0.870580181	0.65684642	0.909419701	1	1	0.666666667
22:07	unk they have recently announced a price increase	increase	-10.63	6	0.642488676	0.506768024	0.747791739	1	1	0.666666667
23:01	do not come in and unk everyone please	not	-4.17	3	0.83510231	0.774108485	0.955440843	1	1	0.666666667
23:02	do not come in and unk everyone please	come	-6.16	3	0.820600969	0.673611291	0.929566862	1	1	0.5
23:03	do not come in and unk everyone please	in	-2.54	2	0.698548189	0.501917747	0.730330444	0.833333333	1	0.333333333
23:04	do not come in and unk everyone please	and	-2.13	3	0.787526494	0.643693002	0.870525041	0.833333333	0.833333333	0.166666667
23:06	do not come in and unk everyone please	everyone	-8.71	7	0.724169222	0.58096006	0.878665809	0.833333333	1	0.166666667
23:07	do not come in and unk everyone please	please	-10.94	4	0.54860183	0.410703486	0.688228504	0.833333333	0.5	0.166666667
24:01:00	do not come in and infect everyone please	not	-4.17	3	0.83510231	0.774108485	0.955440843	1	1	0.833333333
24:02:00	do not come in and infect everyone please	come	-6.16	3	0.820600969	0.673611291	0.929566862	1	0.5	0
24:03:00	do not come in and infect everyone please	in	-2.54	2	0.698548189	0.501917747	0.730330444	0.833333333	0.333333333	0.166666667
24:04:00	do not come in and infect everyone please	and	-2.13	3	0.787526494	0.643693002	0.870525041	1	0.5	0.333333333
24:05:00	do not come in and infect everyone please	infect	-12.3	6	0.851829919	0.743008791	0.929290913	1	0.666666667	0.5
24:06:00	do not come in and infect everyone please	everyone	-7.07	7	0.724169222	0.58096006	0.878665809	1	1	1
24:07:00	do not come in and infect everyone please	please	-11.15	4	0.54860183	0.410703486	0.688228504	1	0.666666667	0
25:01:00	do not tread tomato through the carpet or whatever through there	not	-4.17	3	0.83510231	0.774108485	0.955440843	1	1	0.333333333
25:02:00	do not tread tomato through the carpet or whatever through there	tread	-12.63	4	0.882814462	0.753572709	0.963188019	0.833333333	0.333333333	0
25:03:00	do not tread tomato through the carpet or whatever through there	tomato	-9.01	6	0.775624016	0.564524278	0.87298378	1	0.833333333	0.666666667
25:04:00	do not tread tomato through the carpet or whatever through there	through	-9.56	3	0.630935326	0.597648922	0.820491536	1	0.666666667	0
25:05:00	do not tread tomato through the carpet or whatever through there	the	-1.31	2	0.537922917	0.199520389	0.664877878	0.833333333	0.666666667	0.166666667
25:06:00	do not tread tomato through the carpet or whatever through there	carpet	-6.43	6	0.783377829	0.644083676	0.875424305	0.833333333	0.666666667	0.166666667
25:07:00	do not tread tomato through the carpet or whatever through there	or	-3.66	2	0.644250617	0.391994181	0.678823216	1	0.666666667	0.166666667
25:08:00	do not tread tomato through the carpet or whatever through there	whatever	-2.12	6	0.812511064	0.682300875	0.927624198	0.833333333	0.5	0.166666667
25:09:00	do not tread tomato through the carpet or whatever through there	through	-9.39	3	0.630935326	0.597648922	0.820491536	1	0.666666667	0
25:10:00	do not tread tomato through the carpet or whatever through there	there	-4.78	3	0.761991086	0.50882468	0.890916856	1	0.666666667	0.166666667
26:01:00	do not tread tomato through the rug or whatever through there	not	-4.17	3	0.83510231	0.774108485	0.955440843	0.833333333	1	0.666666667
26:02:00	do not tread tomato through the rug or whatever through there	tread	-12.63	4	0.882814462	0.753572709	0.963188019	0.666666667	0.166666667	0
26:03:00	do not tread tomato through the rug or whatever through there	tomato	-9.01	6	0.775624016	0.564524278	0.87298378	1	0.833333333	1
26:04:00	do not tread tomato through the rug or whatever through there	through	-9.56	3	0.630935326	0.597648922	0.820491536	1	0.5	0.333333333
26:05:00	do not tread tomato through the rug or whatever through there	the	-1.31	2	0.537922917	0.199520389	0.664877878	0.666666667	0.333333333	0.166666667
26:06:00	do not tread tomato through the rug or whatever through there	rug	-11.63	3	0.829292304	0.753888339	0.947623523	0.666666667	0.166666667	0
26:07:00	do not tread tomato through the rug or whatever through there	or	-3.16	2	0.644250617	0.391994181	0.678823216	0.833333333	0.333333333	0.166666667
26:08:00	do not tread tomato through the rug or whatever through there	whatever	-2.06	6	0.812511064	0.682300875	0.927624198	0.666666667	0.333333333	0.5
26:09:00	do not tread tomato through the rug or whatever through there	through	-9.5	3	0.630935326	0.597648922	0.820491536	1	0.5	0.333333333
26:10:00	do not tread tomato through the rug or whatever through there	there	-4.88	3	0.761991086	0.50882468	0.890916856	1	0.666666667	0.666666667
27:01:00	enormous airport and i wandered about a mile	airport	-10.25	6	0.724363827	0.655382821	0.829770079	1	0.833333333	0.333333333
27:02:00	enormous airport and i wandered about a mile	and	-3.31	3	0.787526494	0.643693002	0.870525041	0.833333333	0.666666667	0
27:03:00	enormous airport and i wandered about a mile	i	-3.95	1	0.698881221	0.523162631	0.851248487	1	1	0.833333333
27:04:00	enormous airport and i wandered about a mile	wandered	-13.83	6	0.73039096	0.513331022	0.758731716	0.833333333	1	0.666666667
27:05:00	enormous airport and i wandered about a mile	about	-6.99	4	0.858979214	0.679912279	0.876612416	1	1	0.833333333
27:06:00	enormous airport and i wandered about a mile	a	-2.02	1	0.761481519	0.680891232	0.928979461	1	1	0.166666667
27:07:00	enormous airport and i wandered about a mile	mile	-4.84	3	0.689271335	0.481230034	0.863597016	1	1	0.166666667
28:01:00	even the sort of like the champion ones are	the	-3.32	2	0.537922917	0.199520389	0.664877878	1	0.833333333	0.166666667
28:02:00	even the sort of like the champion ones are	sort	-7.78	4	0.817611179	0.533039132	0.886485191	0.833333333	0.333333333	0
28:03:00	even the sort of like the champion ones are	of	-0.2	2	0.759014466	0.64002209	0.893290755	0.833333333	0.333333333	0
28:04:00	even the sort of like the champion ones are	like	-4.61	3	0.794628915	0.617932166	0.907579193	0.5	0.666666667	0.166666667
28:05:00	even the sort of like the champion ones are	the	-1.77	2	0.537922917	0.199520389	0.664877878	1	0.833333333	0.166666667
28:06:00	even the sort of like the champion ones are	champion	-10.52	7	0.769665133	0.726787813	0.890092897	1	1	0.166666667
28:07:00	even the sort of like the champion ones are	ones	-8.14	4	0.577041857	0.426604141	0.697843957	1	0.5	0
28:08:00	even the sort of like the champion ones are	are	-3.18	2	0.731639388	0.417510853	0.799962084	1	1	0
29:01:00	even the sort of like the unk ones are	the	-3.32	2	0.537922917	0.199520389	0.664877878	1	0.666666667	0
29:02:00	even the sort of like the unk ones are	sort	-7.78	4	0.817611179	0.533039132	0.886485191	0.666666667	0.666666667	0.5
29:03:00	even the sort of like the unk ones are	of	-0.2	2	0.759014466	0.64002209	0.893290755	0.5	0.333333333	0.5
29:04:00	even the sort of like the unk ones are	like	-4.61	3	0.794628915	0.617932166	0.907579193	0.5	0.833333333	0.333333333
29:05:00	even the sort of like the unk ones are	the	-1.77	2	0.537922917	0.199520389	0.664877878	1	0.666666667	0
29:07:00	even the sort of like the unk ones are	ones	-6.45	4	0.577041857	0.426604141	0.697843957	0.333333333	0.833333333	0
29:08:00	even the sort of like the unk ones are	are	-3.33	2	0.731639388	0.417510853	0.799962084	0.666666667	1	0
30:01:00	even then there would be unk unk in it	then	-6.38	3	0.833093901	0.713198105	0.872215964	1	0.833333333	0.833333333
30:02:00	even then there would be unk unk in it	there	-3.98	3	0.761991086	0.50882468	0.890916856	1	1	0.5
30:03:00	even then there would be unk unk in it	would	-4.64	3	0.831415596	0.638307008	0.890644965	1	1	0
30:04:00	even then there would be unk unk in it	be	-0.24	2	0.709224335	0.659560437	0.741146158	1	1	0
30:07:00	even then there would be unk unk in it	in	-4.3	2	0.698548189	0.501917747	0.730330444	1	1	0
30:08:00	even then there would be unk unk in it	it	-3.71	2	0.827461182	0.765324546	0.914102825	1	1	0
31:01:00	even then there would be innate unk in it	then	-6.38	3	0.833093901	0.713198105	0.872215964	1	1	1
31:02:00	even then there would be innate unk in it	there	-3.98	3	0.761991086	0.50882468	0.890916856	1	1	0.833333333
31:03:00	even then there would be innate unk in it	would	-4.64	3	0.831415596	0.638307008	0.890644965	1	1	0.666666667
31:04:00	even then there would be innate unk in it	be	-0.24	2	0.709224335	0.659560437	0.741146158	1	1	0.666666667
31:05:00	even then there would be innate unk in it	innate	-12.91	4	0.778390002	0.656378198	0.906918817	0.166666667	0	0
31:07:00	even then there would be innate unk in it	in	-4.02	2	0.698548189	0.501917747	0.730330444	0.833333333	1	0
31:08:00	even then there would be innate unk in it	it	-3.91	2	0.827461182	0.765324546	0.914102825	1	1	0.166666667
32:01:00	everyone has an accent everyone has a dialect	has	-3.33	3	0.773457703	0.621769748	0.884244516	1	1	1
32:02:00	everyone has an accent everyone has a dialect	an	-4.63	2	0.797221882	0.62322319	0.889931886	1	1	0.833333333
32:03:00	everyone has an accent everyone has a dialect	accent	-7.89	6	0.767239533	0.66853951	0.877244357	1	1	0.833333333
32:04:00	everyone has an accent everyone has a dialect	everyone	-10.5	7	0.724169222	0.58096006	0.878665809	1	1	0.833333333
32:05:00	everyone has an accent everyone has a dialect	has	-2.79	3	0.773457703	0.621769748	0.884244516	1	1	1
32:06:00	everyone has an accent everyone has a dialect	a	-2.04	1	0.761481519	0.680891232	0.928979461	1	1	1
32:07:00	everyone has an accent everyone has a dialect	dialect	-12.08	7	0.734630675	0.610857167	0.915506589	1	1	0.833333333
33:01:00	everyone has an accent everyone has a unk	has	-3.33	3	0.773457703	0.621769748	0.884244516	1	0.833333333	1
33:02:00	everyone has an accent everyone has a unk	an	-4.63	2	0.797221882	0.62322319	0.889931886	1	1	0.833333333
